STIM,logbf.binary,logbf.binary.2
DETECTABLE,Low,Low
AVOIDABLE,High,High
NOTICEABLE,High,High
MAGICAL,Low,Low
ALLOWANCE,High,High
DIETARY,Low,Low
WIDOWED,Low,Low
BEARDED,Low,Low
INSISTENT,High,High
TOASTER,Low,Low
LENDER,Low,Low
RAIDER,Low,Low
JAILER,Low,Low
DESTROYER,High,High
CAMPAIGNER,High,High
SEEKER,High,High
SINGER,High,High
LISTENER,High,High
DESIGN,High,High
ATTACKER,High,High
BUYER,High,High
PLANNER,High,High
TEACHER,High,High
THRUSTER,Low,Low
ANGELIC,Low,Low
TOSSING,Low,Low
TUTORING,Low,Low
PEAKING,Low,Low
HARMLESS,Low,Low
EFFORTLESS,High,High
GRIMLY,Low,Low
DENSELY,Low,Low
NEATLY,Low,Low
GUILTY,High,High
HUGELY,High,High
COSTLY,High,High
LOCALLY,High,High
AMUSEMENT,Low,Low
AMAZEMENT,Low,Low
ENJOYMENT,High,High
BOLDNESS,Low,Low
MILDNESS,Low,Low
DULLNESS,Low,Low
AWARENESS,High,High
RICHNESS,High,High
STRANGENESS,High,High
MOSSY,Low,Low
CHILLY,Low,Low
BOSSY,Low,Low
RISKY,High,High
PUNCHER,Low,Low
BARKER,Low,Low
SPELLER,Low,Low
KNOCKER,Low,Low
SWIMMER,Low,Low
COMPOSER,Low,Low
BOMBER,Low,Low
LOCKER,High,High
RENTER,High,High
HUNTER,High,High
DANCER,High,High
DREAMER,High,High
PUSHER,High,High
FEEDER,High,High
CLEANER,High,High
HEATER,High,High
STRIKER,High,High
PAINTER,High,High
SHAMEFUL,Low,Low
FAITHFUL,Low,Low
DOUBTFUL,High,High
FLEXIBLE,Low,Low
KICKING,Low,Low
COOLING,High,High
PARKING,High,High
GUARDING,High,High
LAUGHING,High,High
DAMPISH,Low,Low
STYLISH,High,High
JUMPING,High,High
GUILELESS,Low,Low
BOOTLESS,Low,Low
CLOUDLESS,Low,Low
BONELESS,High,High
SHAPELY,High,High
QUIETLY,High,High
WRONGLY,High,High
EXCITEMENT,High,High
DEAFNESS,Low,Low
BLINDNESS,Low,Low
MADNESS,Low,Low
DRYNESS,High,High
SAILOR,Low,Low
CONDUCTOR,Low,Low
EDITOR,Low,Low
COLLECTOR,High,High
PROFESSOR,High,High
WEEDY,Low,Low
CREAMY,Low,Low
VERBAL,Low,Low
